bucket,bucket_name,ticker,name,market,role,enabled
semiconductor,반도체,005930,삼성전자,KOSPI,memory_leader,1
semiconductor,반도체,000660,SK하이닉스,KOSPI,memory_leader,1
semiconductor,반도체,042700,한미반도체,KOSPI,equipment,1
semiconductor,반도체,058470,리노공업,KOSDAQ,parts_test,1
semiconductor,반도체,039030,이오테크닉스,KOSDAQ,equipment,1
semiconductor,반도체,403870,HPSP,KOSDAQ,equipment,1
automotive,자동차,005380,현대차,KOSPI,oem,1
automotive,자동차,000270,기아,KOSPI,oem,1
automotive,자동차,012330,현대모비스,KOSPI,parts,1
automotive,자동차,018880,한온시스템,KOSPI,thermal_parts,1
automotive,자동차,161390,한국타이어앤테크놀로지,KOSPI,tire,1
automotive,자동차,204320,HL만도,KOSPI,adas_parts,1
battery_materials,배터리·소재,373220,LG에너지솔루션,KOSPI,cell,1
battery_materials,배터리·소재,006400,삼성SDI,KOSPI,cell,1
battery_materials,배터리·소재,051910,LG화학,KOSPI,chemical_material,1
battery_materials,배터리·소재,247540,에코프로비엠,KOSDAQ,cathode,1
battery_materials,배터리·소재,086520,에코프로,KOSDAQ,holding_material,1
battery_materials,배터리·소재,003670,포스코퓨처엠,KOSPI,cathode_anode,1
bio_healthcare,바이오·헬스케어,207940,삼성바이오로직스,KOSPI,cdmo,1
bio_healthcare,바이오·헬스케어,068270,셀트리온,KOSPI,biosimilar,1
bio_healthcare,바이오·헬스케어,196170,알테오젠,KOSDAQ,platform_bio,1
bio_healthcare,바이오·헬스케어,326030,SK바이오팜,KOSPI,new_drug,1
bio_healthcare,바이오·헬스케어,000100,유한양행,KOSPI,pharma,1
bio_healthcare,바이오·헬스케어,128940,한미약품,KOSPI,pharma,1
internet_gaming,인터넷·게임,035420,NAVER,KOSPI,platform,1
internet_gaming,인터넷·게임,035720,카카오,KOSPI,platform,1
internet_gaming,인터넷·게임,259960,크래프톤,KOSPI,game,1
internet_gaming,인터넷·게임,036570,엔씨소프트,KOSPI,game,1
internet_gaming,인터넷·게임,263750,펄어비스,KOSDAQ,game,1
internet_gaming,인터넷·게임,293490,카카오게임즈,KOSDAQ,game,1
finance,금융,105560,KB금융,KOSPI,bank_holding,1
finance,금융,055550,신한지주,KOSPI,bank_holding,1
finance,금융,086790,하나금융지주,KOSPI,bank_holding,1
finance,금융,316140,우리금융지주,KOSPI,bank_holding,1
finance,금융,024110,기업은행,KOSPI,bank,1
finance,금융,138930,BNK금융지주,KOSPI,regional_bank,1
defense_nuclear,방산·원전,012450,한화에어로스페이스,KOSPI,defense,1
defense_nuclear,방산·원전,079550,LIG넥스원,KOSPI,defense,1
defense_nuclear,방산·원전,047810,한국항공우주,KOSPI,aerospace,1
defense_nuclear,방산·원전,272210,한화시스템,KOSPI,defense_electronics,1
defense_nuclear,방산·원전,034020,두산에너빌리티,KOSPI,nuclear_power,1
defense_nuclear,방산·원전,052690,한전기술,KOSPI,nuclear_engineering,1
shipbuilding,조선·해양,329180,HD현대중공업,KOSPI,shipyard,1
shipbuilding,조선·해양,009540,HD한국조선해양,KOSPI,holding_shipyard,1
shipbuilding,조선·해양,010140,삼성중공업,KOSPI,shipyard,1
shipbuilding,조선·해양,042660,한화오션,KOSPI,shipyard,1
shipbuilding,조선·해양,267250,HD현대,KOSPI,holding_energy,1
shipbuilding,조선·해양,443060,HD현대마린솔루션,KOSPI,marine_service,1
