ticker,name,bucket,keywords,enabled
005930,삼성전자,semiconductor,삼성전자,1
000660,SK하이닉스,semiconductor,SK하이닉스,1
042700,한미반도체,semiconductor,한미반도체,1
058470,리노공업,semiconductor,리노공업,1
039030,이오테크닉스,semiconductor,이오테크닉스,1
403870,HPSP,semiconductor,HPSP,1
005380,현대차,automotive,현대차,1
000270,기아,automotive,기아,1
012330,현대모비스,automotive,현대모비스,1
018880,한온시스템,automotive,한온시스템,1
161390,한국타이어앤테크놀로지,automotive,한국타이어앤테크놀로지,1
204320,HL만도,automotive,HL만도,1
373220,LG에너지솔루션,battery_materials,LG에너지솔루션,1
006400,삼성SDI,battery_materials,삼성SDI,1
051910,LG화학,battery_materials,LG화학,1
247540,에코프로비엠,battery_materials,에코프로비엠,1
086520,에코프로,battery_materials,에코프로,1
003670,포스코퓨처엠,battery_materials,포스코퓨처엠,1
207940,삼성바이오로직스,bio_healthcare,삼성바이오로직스,1
068270,셀트리온,bio_healthcare,셀트리온,1
196170,알테오젠,bio_healthcare,알테오젠,1
326030,SK바이오팜,bio_healthcare,SK바이오팜,1
000100,유한양행,bio_healthcare,유한양행,1
128940,한미약품,bio_healthcare,한미약품,1
035420,NAVER,internet_gaming,NAVER,1
035720,카카오,internet_gaming,카카오,1
259960,크래프톤,internet_gaming,크래프톤,1
036570,엔씨소프트,internet_gaming,엔씨소프트,1
263750,펄어비스,internet_gaming,펄어비스,1
293490,카카오게임즈,internet_gaming,카카오게임즈,1
105560,KB금융,finance,KB금융,1
055550,신한지주,finance,신한지주,1
086790,하나금융지주,finance,하나금융지주,1
316140,우리금융지주,finance,우리금융지주,1
024110,기업은행,finance,기업은행,1
138930,BNK금융지주,finance,BNK금융지주,1
012450,한화에어로스페이스,defense_nuclear,한화에어로스페이스,1
079550,LIG넥스원,defense_nuclear,LIG넥스원,1
047810,한국항공우주,defense_nuclear,한국항공우주,1
272210,한화시스템,defense_nuclear,한화시스템,1
034020,두산에너빌리티,defense_nuclear,두산에너빌리티,1
052690,한전기술,defense_nuclear,한전기술,1
329180,HD현대중공업,shipbuilding,HD현대중공업,1
009540,HD한국조선해양,shipbuilding,HD한국조선해양,1
010140,삼성중공업,shipbuilding,삼성중공업,1
042660,한화오션,shipbuilding,한화오션,1
267250,HD현대,shipbuilding,HD현대,1
443060,HD현대마린솔루션,shipbuilding,HD현대마린솔루션,1
